"name";"ine";"email";"tel"
"Algora";"19-017";"algora.ayuntamiento@gmail.com";"949396084"
"Monasterio";"19-191";NA;"949857133"
"Alhóndiga";"19-018";"ayto.alhondiga@gmail.com";"949284001"
"Mondéjar";"19-192";"miguelcoronado@mondejar.org";"949385001"
"Alique";"19-019";NA;"949827120"
"Montarrón";"19-193";"aytomontarron@hotmail.com";"949855392"
"Almadrones";"19-020";"almadrones.ayuntamiento@gmail.com";"949285594"
"Moratilla de los Meleros";"19-194";"moratilla.meleros@hotmail.com";"949388787"
"Almoguera";"19-021";"almoguera@local.jccm.es";"949380001"
"Morenilla";"19-195";NA;"949841221"
"Almonacid de Zorita";"19-022";NA;"949376201"
"Muduex";"19-196";"ayuntamientodemuduex@hotmail.com";"949323426"
"Alocén";"19-023";"info@alocen.es";"949284098"
"Navas de Jadraque (Las)";"19-197";NA;"949307834"
"Alovera";"19-024";"intervencion@aytoalovera.es";"949275260"
"Negredo";"19-198";NA;"949892197"
"Alustante";"19-027";"ayuntamientodealustante@gmail.com";"978714100"
"Ocentejo";"19-199";"ayuntamientodeocentejo@gmail.com";"949814002"
"Angón";"19-031";"ayuntamientoangon@gmail.com";"949828079"
"Olivar (El)";"19-200";"aytolivar@gmail.com";"949284143"
"Anguita";"19-032";NA;"949304417"
"Olmeda de Cobeta";"19-201";"ayto.olmedadecobeta@hotmail.com";"616776116"
"Anquela del Ducado";"19-033";"ayuntamiento@anqueladelducado.com";"949838186"
"Olmeda de Jadraque (La)";"19-202";"asistenciamunicipal@dguadalajara.es";"949261849"
"Anquela del Pedregal";"19-034";NA;"949832225"
"Ordial (El)";"19-203";NA;"949828214"
"Aranzueque";"19-036";"ayuntamientoaranzueque@gmail.com";"949292001"
"Orea";"19-204";"ayto-orea@ayto-orea.com";"949836001"
"Arbancón";"19-037";"ayuntamientodearbancon@hotmail.es";"949855192"
"Pálmaces de Jadraque";"19-208";"aytopalmaces@gmail.com";"949892129"
"Arbeteta";"19-038";"ayuntamientodearbeteta@gmail.com";"949810816"
"Pardos";"19-209";"ayunrillodegallo@yahoo.es";"949842012"
"Argecilla";"19-039";"ayuntamientodeargecilla@gmail.com";"949285220"
"Paredes de Sigüenza";"19-210";"aytoparedesdesig@gmail.com";"949397398"
"Armallones";"19-040";"aytoarmallones@gmail.com";"949816275"
"Pareja";"19-211";"ayuntamiento@pareja.es";"949354003"
"Armuña de Tajuña";"19-041";"armunadetajuna@gmail.com";"949295020"
"Pastrana";"19-212";"ayuntamiento@pastrana.org";"949370014"
"Arroyo de las Fraguas";"19-042";"aytoarroyodelasfraguas@outlook.es";"949823479"
"Pedregal (El)";"19-213";NA;"949841248"
"Atanzón";"19-043";"aytoatanzon@gmail.com";"949252730"
"Peñalén";"19-214";"secretaria@aytopenalen.es";"949816201"
"Atienza";"19-044";NA;"949399001"
"Peñalver";"19-215";"aytopenalver@hotmail.com";"949284333"
"Auñón";"19-045";"aytoaunon@gmail.com";"949358432"
"Peralejos de las Truchas";"19-216";NA;"949837001"
"Azuqueca de Henares";"19-046";"rentas@azuqueca.net";"949348032"
"Peralveche";"19-217";"ayuntamientodeperalveche@gmail.com";"949810216"
"Baides";"19-047";"ayuntamientobaides@hotmail.com";"949397639"
"Pinilla de Jadraque";"19-218";NA;"949892722"
"Baños de Tajo";"19-048";NA;"949832018"
"Pinilla de Molina";"19-219";NA;"949831763"
"Bañuelos";"19-049";"ayuntamientobanuelos@yahoo.es";"949396614"
"Pioz";"19-220";"oficinarecepcion@aytopioz.com";"949272076"
"Barriopedro";"19-050";NA;"949821160"
"Piqueras";"19-221";"ayuntamientopiqueras@hotmail.es";"949841345"
"Berninches";"19-051";"ayuntamientoberninches@alehop.com";"949284080"
"Pobo de Dueñas (El)";"19-222";NA;"949841001"
"Bodera (La)";"19-052";"ayuntamientolabodera@gmail.com";"949399096"
"Poveda de la Sierra";"19-223";"secretaria@aytopoveda.es";"949816152"
"Brihuega";"19-053";"ayto@aytobrihuega.com";"949280016"
"Pozo de Almoguera";"19-224";"ayuntamientopozodealmoguera@gmail.com";"949380636"
"Budia";"19-054";"admibudia@gmail.com";"949283401"
"Pozo de Guadalajara";"19-225";"ayuntamiento@pozodeguadalajara.com";"949272185"
"Bujalaro";"19-055";NA;"949891068"
"Prádena de Atienza";"19-226";"pradena-de-atienza@local.jccm.es";"949896231"
"Bustares";"19-057";NA;"949307234"
"Prados Redondos";"19-227";"ayuntamientoprados@gmail.com";"949831043"
"Cabanillas del Campo";"19-058";"victorc@aytocabanillas.org";"949337600"
"Puebla de Beleña";"19-228";NA;"949858369"
"Campillo de Dueñas";"19-059";NA;"949834280"
"Puebla de Valles";"19-229";NA;"949858364"
"Campillo de Ranas";"19-060";"campilloayuntamiento@tiscali.es";"949834280"
"Quer";"19-230";"info@ayuntamientodequer.es";"949270089"
"Campisábalos";"19-061";NA;"949308184"
"Rebollosa de Jadraque";"19-231";"ayuntamientorebollosa@gmail.com";"949828236"
"Canredondo";"19-064";NA;"949810565"
"Recuenco (El)";"19-232";"ayuntamientodelrecuenco@gmail.com";"949817017"
"Cantalojas";"19-065";NA;"949303078"
"Renera";"19-233";"ayuntamientorenera@gmail.com";"949295366"
"Cañizar";"19-066";"administracion@ayto-canizar.es";"949852671"
"Retiendas";"19-234";"j.manuelsanchez@hotmail.com";"949859012"
"Cardoso de la Sierra (El)";"19-067";NA;"918697084"
"Riba de Saelices";"19-235";"ayuntamientoribadesaelices@hotmail.es";"949304047"
"Casa de Uceda";"19-070";"aytocasadeuceda@hotmail.com";"949854406"
"Rillo de Gallo";"19-237";"AYUNRILLODEGALLO@YAHOO.ES";"949830025"
"Casar (El)";"19-071";"aytocasarsecret@telefonica.net";"949334001"
"Riofrío del Llano";"19-238";"ayuntamientoriofrio@gmail.com";"949306046"
"Casas de San Galindo";"19-073";"aytocasas@gmail.com";"949891010"
"Robledillo de Mohernando";"19-239";NA;"949851152"
"Caspueñas";"19-074";"ayuntamientocaspuenas@gmail.com";"949322058"
"Robledo de Corpes";"19-240";"robledo-de-corpes@local.jccm.es";"949899103"
"Castejón de Henares";"19-075";"felipec@espublico.com";NA
"Romanillos de Atienza";"19-241";"ayuntamientoromanillos@yahoo.es";"949396541"
"Castellar de la Muela";"19-076";NA;"949841121"
"Romanones";"19-242";"romanones.ayun@terra.es";"949294051"
"Castilforte";"19-078";"aytocastilforte@gmail.com";"616066509"
"Rueda de la Sierra";"19-243";"AYUTRUEDADELASIERRA@YAHOO.ES";"949847411"
"Castilnuevo";"19-079";NA;"949831107"
"Sacecorbo";"19-244";"jfgarcia@espublico.com";"949814100"
"Cendejas de Enmedio";"19-080";"aytocendejasdeenmedio@gmail.com";"949892141"
"Sacedón";"19-245";"ayuntamiento@sacedon.es";"949350015"
"Cendejas de la Torre";"19-081";NA;"949892064"
"Saelices de la Sal";"19-246";NA;"949304119"
"Centenera";"19-082";"ayuntamientocenenera@gmail.com";"949252587"
"Salmerón";"19-247";"aytosalmeron@gmail.com";"616066509"
"Cifuentes";"19-086";"miayuntamiento@cifuentes.es";"949810001"
"San Andrés del Congosto";"19-248";"ayuntamientosanandresdelcongosto@yahoo.es";"949857077"
"Cincovillas";"19-087";NA;"949399055"
"San Andrés del Rey";"19-249";NA;"949283255"
"Ciruelas";"19-088";NA;"949852680"
"Santiuste";"19-250";"santiuste.guadalajara@gmail.com";"949828228"
"Ciruelos del Pinar";"19-089";"aytociruelosdelpinar@gmail.com";"949838051"
"Saúca";"19-251";"aytosauca@gmail.com";"620873728"
"Cobeta";"19-090";"aytocobeta@gmail.com";"949835001"
"Sayatón";"19-252";"sayaton@local.jccm.es";NA
"Cogollor";"19-091";NA;"949285620"
"Selas";"19-254";"aytoselas@gmail.com";"949838103"
"Cogolludo";"19-092";"info@cogolludo.es";"949855001"
"Setiles";"19-255";NA;"949841026"
"Condemios de Abajo";"19-095";"eacondemios@eresmas.com";NA
"Sienes";"19-256";"aytosienes@gmail.com";"949397273"
"Condemios de Arriba";"19-096";"eacondemios@eresmas.com";NA
"Sigüenza";"19-257";"ayuntamiento@sigüenza.com";"949390850"
"Congostrina";"19-097";NA;"949899018"
"Solanillos del Extremo";"19-258";"ayto.solanillos@gmail.com";"949810651"
"Copernal";"19-098";"ayto.copernal@hotmail.com";"949858680"
"Somolinos";"19-259";NA;"949307831"
"Corduente";"19-099";NA;"949848229"
"Sotillo (El)";"19-260";"aytos.agis@gmail.com";"949817512"
"Cubillo de Uceda (El)";"19-102";"aytocubillodeuceda@gmail.com";"949856080"
"Sotodosos";"19-261";"ayuntamientosotodosos@gmail.com";"949304074"
"Checa";"19-103";"ayuntamientocheca4@hotmail.com";"949836101"
"Tamajón";"19-262";"ayto.tamajon@terra.es";"949859001"
"Chequilla";"19-104";"aytochequilla@hotmail.com";"949836053"
"Taragudo";"19-263";"ayto.taragudo@hotmail.com";"949852823"
"Chiloeches";"19-105";NA;"949271139"
"Taravilla";"19-264";NA;"949831186"
"Chillarón del Rey";"19-106";NA;"949357412"
"Tartanedo";"19-265";NA;"949840276"
"Driebes";"19-107";"aytodriebes@hotmail.com";"949389001"
"Tendilla";"19-266";"aytotendilla@hotmail.es";"949298010"
"Durón";"19-108";"duron@local.jccm.es";"949283564"
"Terzaga";"19-267";NA;"949831033"
"Embid";"19-109";"aytotortuera@hotmail.com";"949843111"
"Tierzo";"19-268";NA;"949831625"
"Escamilla";"19-110";"aytoescamilla@hotmail.com";"616066509"
"Toba (La)";"19-269";"info@latoba-guadalajara.es";"949892515"
"Escariche";"19-111";NA;"949370014"
"Tordelrábano";"19-270";NA;"949393937"
"Escopete";"19-112";"aytoescopete@gmail.com";"949370382"
"Tordellego";"19-271";NA;"949841356"
"Espinosa de Henares";"19-113";"ayuntamiento@esponosadehenaes.es";"949858801"
"Tordesilos";"19-272";"tordesilos@local.jccm.es";"949841260"
"Esplegares";"19-114";NA;"949814022"
"Torija";"19-274";"torija@local.jccm.es";"949320029"
"Establés";"19-115";NA;"630199009"
"Torrecuadrada de Molina";"19-277";NA;"949831034"
"Estriégana";"19-116";"aytoestriegana@gmail.com";"620873728"
"Torrecuadradilla";"19-278";NA;"949811346"
"Fontanar";"19-117";"Fontanar@local.jccm.es";"949331212"
"Torre del Burgo";"19-279";NA;"949852650"
"Fuembellida";"19-118";NA;"949830175"
"Torrejón del Rey";"19-280";"secretaria@aytotorrejondelrey.com";"949339351"
"Fuencemillán";"19-119";NA;"949855151"
"Torremocha de Jadraque";"19-281";NA;"949892640"
"Fuentelahiguera de Albatages";"19-120";"aytofuentelahiguera@hotmail.com";"949338027"
"Torremocha del Campo";"19-282";"secretaria@torremochadel campo.es";"949396033"
"Fuentelencina";"19-121";"ayuntamiento@fuentelencina.com";"949284201"
"Torremocha del Pinar";"19-283";"aytotorremochadelpinar@gmail.es";"949838004"
"Fuentelsaz";"19-122";"aytofuentelsaz@yahoo.es";"949840276"
"Torremochuela";"19-284";NA;"949831043"
"Fuentelviejo";"19-123";"jaimesanzr@hotmail.com";"949298167"
"Torrubia";"19-285";"AYUNRILLODEGALLO@YAHOO.ES";"949842028"
"Fuentenovilla";"19-124";NA;"949329708"
"Tórtola de Henares";"19-286";"tortola-henares@local.jccm.es";"949323020"
"Gajanejos";"19-125";"aytos.agis@gmail.com";"949285159"
"Tortuera";"19-287";"aytotortuera@hotmail.com";"949843001"
"Galápagos";"19-126";"secretaria@galapagos.es";"949339565"
"Tortuero";"19-288";NA;"949854257"
"Galve de Sorbe";"19-127";"galvegestion@hotmail.com";"94930053"
"Traíd";"19-289";"aytotraid@hotmail.com";"949836501"
"Gascueña de Bornova";"19-129";"gascueñadebornova@gmail.com";"949896015"
"Trijueque";"19-290";"ayuntamientotrijueque@gmail.com";"949322012"
"Guadalajara";"19-130";"intervencion@aytoguadalajara.es";"949887070"
"Trillo";"19-291";"info@trillo.es";"949815030"
"Henche";"19-132";"aytohenche@yahoo.es";"949811065"
"Uceda";"19-293";"uceda@local.jccm.es";"949856002"
"Heras de Ayuso";"19-133";"heras-ayuso@local.jccm.es";"949852597"
"Ujados";"19-294";"eacondemios@eresmas.com";NA
"Herrería";"19-134";"AYUNRILLODEGALLO@YAHOO.ES";"949830700"
"Utande";"19-296";"ayuntamientoutande@gmail.com";"949323435"
"Hiendelaencina";"19-135";"hiendelaencina2016@gmail.com";"949899004"
"Valdarachas";"19-297";"valdarachas@local.jccm.es";"949299117"
"Hijes";"19-136";"eacondemios@eresmas.com";NA
"Valdearenas";"19-298";"ayuntamientovaldearenas@gmail.com";"949323510"
"Hita";"19-138";NA;"949852749"
"Valdeavellano";"19-299";"ayuntamientodevaldeavellano@hotmail.com";"949294030"
"Hombrados";"19-139";NA;"949841037"
"Valdeaveruelo";"19-300";"intervencion@valdeaveruelo.com";"949339577"
"Hontoba";"19-142";"ayuntamiento@hontoba.com";"949292365"
"Valdeconcha";"19-301";"valdeconcha.1@hotmail.com";"949826201"
"Horche";"19-143";"horche@local.jccm.es";"949290001"
"Valdegrudas";"19-302";"ayuntamientovaldegrudas@gmail.com";"949320162"
"Hortezuela de Océn";"19-145";NA;"949304795"
"Valdelcubo";"19-303";"aytovaldelcubo@gmail.com";"949397406"
"Huerce (La)";"19-146";NA;"949307101"
"Valdenuño Fernández";"19-304";NA;"949854795"
"Huérmeces del Cerro";"19-147";"alcaldiahuermeces@gmail.com";"949397760"
"Valdepeñas de la Sierra";"19-305";"aytovaldepenasdelasierra@gmail.com";"949854081"
"Huertahernando";"19-148";NA;"949831909"
"Valderrebollo";"19-306";"aytomase@hotmail.com";"949817488"
"Hueva";"19-150";"aytohueva@gmail.com";"949370014"
"Valdesotos";"19-307";NA;"949854170"
"Humanes";"19-151";"humanes@humanes.es";"949850020"
"Valfermoso de Tajuña";"19-308";NA;"949294170"
"Illana";"19-152";"aytoillana@ERESMAS.COM";"969133001"
"Valhermoso";"19-309";NA;"949832700"
"Iniéstola";"19-153";NA;"949304417"
"Valtablado del Río";"19-310";"ayuntamientodeocentejo@gmail.com";"609340556"
"Inviernas (Las)";"19-154";"aytos.agis@gmail.com";"949817455"
"Valverde de los Arroyos";"19-311";NA;"949307402"
"Irueste";"19-155";"secretariadeirueste@gmail.com";"949283100"
"Viana de Jadraque";"19-314";"ayuntamiento@vianajadraque.es";"949397649"
"Jadraque";"19-156";"ayuntamientojadraque@hotmail.com";"949890000"
"Villanueva de Alcorón";"19-317";"aytovillanuevadealcoron@gmail.com";"949816001"
"Jirueque";"19-157";NA;"949891177"
"Villanueva de Argecilla";"19-318";"aytovillarg@gmail.com";"949891293"
"Ledanca";"19-159";"ayuntamientodeledanca@gmail.com";"949285009"
"Villanueva de la Torre";"19-319";"mnavarro@villanuevadelatorre.es";"949260494"
"Loranca de Tajuña";"19-160";"ayuntamiento@loranca.org";"949294501"
"Villares de Jadraque";"19-321";"villares-de-jadraque@local.jccm.es";"949824040"
"Lupiana";"19-161";"aytovillalupiana@gmail.com";"949290201"
"Villaseca de Henares";"19-322";"felipec@espublico.com";"949305002"
"Luzaga";"19-162";"aytoluzaga@gmail.com";"620873728"
"Villaseca de Uceda";"19-323";"aytovillasecadeuceda@hotmail.com";NA
"Luzón";"19-163";"aytoluzon@gmail.com";"949839602"
"Villel de Mesa";"19-324";"aytovillel@hotmail.com";"949834558"
"Majaelrayo";"19-165";NA;"949859102"
"Viñuelas";"19-325";"aytovinuelas@hotmail.com";NA
"Málaga del Fresno";"19-166";"aytomalagafresno@hotmail.com";"949338381"
"Yebes";"19-326";"aytoyebes@yebes.es";"949290100"
"Malaguilla";"19-167";NA;"949338414"
"Yebra";"19-327";"yebra@local.jccm.es";"949388025"
"Mandayona";"19-168";"ayuntamientodemandayona@gmail.com";"949305002"
"Yélamos de Abajo";"19-329";"secretaria.yelamosdeabajo@outlook.es";"949283086"
"Mantiel";"19-169";"ayto@mantiel.com";"949357478"
"Yélamos de Arriba";"19-330";NA;"949283120"
"Maranchón";"19-170";"aytomaranchon@yahoo.es";"949839672"
"Yunquera de Henares";"19-331";"JoseLCV@yunqueradehenares.com";"949330001"
"Marchamalo";"19-171";"sara.domingo@marchamalo.com";"949250777"
"Yunta (La)";"19-332";"aytolayunta@tiscali.es";"949834261"
"Masegoso de Tajuña";"19-172";"aytomase@hotmail.com";"949817422"
"Zaorejas";"19-333";"ayuntamientozaorejas@hotmail.es";"949816101"
"Matarrubia";"19-173";NA;"949858522"
"Zarzuela de Jadraque";"19-334";"zarzuela-de-jadraque@local.jccm.es";"949852009"
"Matillas";"19-174";NA;"949305078"
"Zorita de los Canes";"19-335";"zorita-canes@local.jccm.es";NA
"Mazarete";"19-175";"aytomazarete@gmail.com";"630199009"
"Semillas";"19-901";NA;"949823053"
"Arbo";"36-001";"secretaria.concellodearbo@gmail.com";"986665000"
"Neves (As)";"36-034";"asneves@fegamp.org";"986648038"
"Barro";"36-002";"barro@concellos.depontevedra.es";NA
"Nigrán";"36-035";"departamentointervencion@nigran.org";"986365000"
"Baiona";"36-003";"intervencion@baiona.org";NA
"Oia";"36-036";"info@concellodeoia.es";"986362125"
"Bueu";"36-004";"concello@concellodebueu.gal";"986390029"
"Pazos de Borbén";"36-037";"secretario@pazosdeborben.org";"986497035"
"Caldas de Reis";"36-005";"caldasdereis@concellos.depontevedra.es";"986540002"
"Pontevedra";"36-038";"mdominguez@pontevedra.eu";"986804300"
"Cambados";"36-006";"interventora@cambados.es";"986520902"
"Porriño (O)";"36-039";"intervencion@oporrino.org";"986335000"
"Campo Lameiro";"36-007";"oficinas@campolameiro.com";"986752034"
"Portas";"36-040";"portas@concellos.depontevedra.es";NA
"Cangas";"36-008";"intervencion@cangas.org";NA
"Poio";"36-041";NA;NA
"Cañiza (A)";"36-009";"concello.acaniza@eidolocal.es";"986651000"
"Ponteareas";"36-042";"intervencion@ponteareas.es";"986640000"
"Catoira";"36-010";"concello.catoira@eidolocal.es";"986546014"
"Ponte Caldelas";"36-043";"tesoreria@pontecaldelas.org";"986750001"
"Covelo";"36-013";"covelo@concellos.depontevedra.es";NA
"Pontecesures";"36-044";"pontecesures@concellos.depontevedra.es";NA
"Crecente";"36-014";"alcaldia@concellocrecente.es";"986666300"
"Redondela";"36-045";"intervencion_redondela@comunired.com";"986400300"
"Cuntis";"36-015";"cuntis@fegamp.es";"986548005"
"Ribadumia";"36-046";"concello.ribadumia@eidolocal.es";NA
"Dozón";"36-016";"concellodozon@gmail.com";"986780471"
"Rodeiro";"36-047";"info@rodeiro.org";"986790185"
"Estrada (A)";"36-017";"alcaldia@aestrada.es";"986570030"
"Rosal (O)";"36-048";"intervencion@concellodorosal.es";"986625000"
"Forcarei";"36-018";"marcelino@forcarei.net";"986755036"
"Salceda de Caselas";"36-049";"alcaldia@salcedadecaselas.es";"986349003"
"Fornelos de Montes";"36-019";"FORNELOS@CONCELLOS.DEPONTEVEDRA.ES";"986768409"
"Salvaterra de Miño";"36-050";"intervencion@concellodesalvaterra.org";"986658126"
"Agolada";"36-020";"mariagolada@hotmail.com";"986788062"
"Sanxenxo";"36-051";"sanxenxo@sanxenxo.org";"986720075"
"Gondomar";"36-021";"intervencion@concellodegondomar.com";"986360125"
"Silleda";"36-052";"tesoreria.silleda@concellos.depontevedra.es";NA
"Grove (O)";"36-022";"ayuntogrove@tiservinet.es";NA
"Soutomaior";"36-053";"Intervencion@soutomaior.com";NA
"Guarda (A)";"36-023";"intervencion@aguarda.es";NA
"Tomiño";"36-054";"tomino@concellos.depontevedra.es";NA
"Lalín";"36-024";"intervencion@lalin.gal";"986787060"
"Tui";"36-055";"alejo.intervencion@tui.gal";"986603625"
"Lama (A)";"36-025";"secretaria@concellodalama.com";"986768238"
"Valga";"36-056";"concello.valga@eidolocal.es";"986559456"
"Marín";"36-026";"concellodemarin@concellodemarin.es";NA
"Vigo";"36-057";"ofi.intervencion@vigo.org";"986810100"
"Meaño";"36-027";"concellodemeano@terra.es";"986747102"
"Vilaboa";"36-058";"vilaboa@concellos.depontevedra.es";NA
"Meis";"36-028";"ramon@meis.es";"986712001"
"Vila de Cruces";"36-059";"info@viladecruces.es";"986582017"
"Moaña";"36-029";"alcaldia@concellodemoana.org";"986310100"
"Vilagarcía de Arousa";"36-060";"secretaria@vilagarcia.es";"986099200"
"Mondariz";"36-030";"info@mondariz.gal";"986664306"
"Vilanova de Arousa";"36-061";"intervencion@vilanovadearousa.com";"986554021"
"Mondariz-Balneario";"36-031";"concello@mondarizbalneario.es";"986656136"
"Illa de Arousa (A)";"36-901";"concello@ailladearousa.gal";"986527080"
"Moraña";"36-032";"concello@morana.org";NA
"Cerdedo-Cotobade";"36-902";NA;NA
"Mos";"36-033";"informacion@concellomos.es";"986331200"
"Abengibre";"02-001";"abengibre@dipualba.es";"967471001"
"Madrigueras";"02-045";"madrigueras@dipualba.es";"967484017"
"Alatoz";"02-002";"alatoz@dipualba.es";"967402001"
"Mahora";"02-046";"mahora@dipualba.es";"967494003"
"Albacete";"02-003";"alcalde@albacete.es";"967596100"
"Masegoso";"02-047";"masegoso@dipualba.es";"967382802"
"Albatana";"02-004";"albatana@dipualba.es";"967323701"
"Minaya";"02-048";"minaya@dipualba.es";"967450006"
"Alborea";"02-005";"alborea@dipualba.es";"967477060"
"Molinicos";"02-049";"molinicos@dipualba.es";"967437001"
"Alcadozo";"02-006";"alcadozo@dipualba.es";"967291426"
"Montalvos";"02-050";"montalvos@dipualba.es";"967276401"
"Alcalá del Júcar";"02-007";"alcala@dipualba.es";"967473001"
"Montealegre del Castillo";"02-051";"montealegre@dipualba.es";"967336039"
"Alcaraz";"02-008";"alcaraz@dipualba.es";"967380002"
"Motilleja";"02-052";"motilleja@dipualba.es";"967493619"
"Almansa";"02-009";"interventor@ayto-almansa.es";"967311550"
"Munera";"02-053";"secretaria.munera@dipualba.es/munera@dipualba.es";"967372001"
